Pattern||Context Indicator||Transaction 1||Transaction 2||Transaction 3||Transaction 4||SSP - Co-Author||SSP - Title
ebrahim_bagheri fattane_zarrinkalam||mining; interests; social; mining social; user; hossein_fani||mining user interests social media||social user interest mining method application||extracting, mining predict users' interests social network||5th international workshop mining actionable insight social network (maison 2020) special edition dis/misinformation mining social media||yiqun_liu&min_zhang&shaoping_ma; peng_cui&wenwu_zhu; jiliang_tang&huan_liu||information; feature selection; social media; network embed; social; exploit; behavior; network; model; search; recommendation; media; user; application
kevin_roitero stefano_mizzaro||evaluate; relevance; scale; judgment; topic||transform relevance scale||fine-grained relevance scale||query performance prediction effectiveness evaluate without relevance judgment two side coin||effectiveness evaluate subset topic practical approach||jiaxin_mao&yiqun_liu; jiaxin_mao&shaoping_ma; jiaxin_mao&yiqun_liu&shaoping_ma||evaluate; behavior; search; evaluate metric; better; investigate
martin_potthast benno_stein||argument; share task; snippet; text; text reuse; matthias_hagen||decade share task digital text forensic pan||user study snippet generation text reuse vs paraphrase||wikipedia text reuse within without||touch first share task argument retrieval||martin_potthast&matthias_hagen; benno_stein&matthias_hagen; martin_potthast&benno_stein&matthias_hagen||search engine; snippet generation; search; snippet; argument; retrieval; text reuse
benno_stein matthias_hagen||search; argument; snippet; retrieval; snippet generation||abstract snippet generation||user study snippet generation text reuse vs paraphrase||plan ancillary copyright original snippet||touch first share task argument retrieval||martin_potthast&benno_stein; martin_potthast&matthias_hagen; martin_potthast&benno_stein&matthias_hagen||search engine; snippet generation; text; share task; search; snippet; argument; retrieval; text reuse
martin_potthast matthias_hagen||search; argument; search engine; snippet; snippet generation; maik_frãâ¶be||abstract snippet generation||argument search assess argument relevance||user study snippet generation text reuse vs paraphrase||plan ancillary copyright original snippet||shaoping_ma&jiaxin_mao&min_zhang; martin_potthast&benno_stein&matthias_hagen; benno_stein&matthias_hagen||snippet generation; evaluate; behavior; search; text reuse; investigate; snippet; argument; retrieval; web search
martin_potthast benno_stein matthias_hagen||argument; snippet; retrieval; snippet generation; text reuse||user study snippet generation text reuse vs paraphrase||abstract snippet generation||plan ancillary copyright original snippet||wikipedia text reuse within without||martin_potthast&matthias_hagen; martin_potthast&benno_stein; benno_stein&matthias_hagen||search engine; snippet generation; text; share task; search; snippet; argument; retrieval; text reuse
ingo_frommholz philipp_mayr||bibliometric-enhanced information; bibliometric-enhanced information retrieval; workshop; bibliometric-enhanced information retrieval workshop; workshop bibliometric-enhanced information retrieval; guillaume_cabanac||bibliometric-enhanced information retrieval 10th anniversary workshop edition||bibliometric-enhanced information retrieval 8th international bir workshop||bibliometric-enhanced information retrieval 3rd international bir workshop||bibliometric-enhanced information retrieval 2nd international bir workshop||guillaume_cabanac&ingo_frommholz; guillaume_cabanac&ingo_frommholz&philipp_mayr; guillaume_cabanac&philipp_mayr||bibliometric-enhanced information retrieval; bibliometric-enhanced information retrieval workshop; workshop; workshop bibliometric-enhanced information retrieval; bibliometric-enhanced information
craig_macdonald iadh_ounis||recommendation; review; sensitivity; sensitivity review; use||towards maximise open digital sensitivity review use review time prediction||towards classify digital sensitivity review||active learning strategy technology assist sensitivity review||active learning stopping strategy technology-assisted sensitivity review||maarten_de_rijke&pengjie_ren; ji-rong_wen&wayne_xin_zhao; xiangnan_he&tat-seng_chua||prediction; improve; graph recommendation; improve recommendation; network; reasoning graph recommendation; recommendation; learning; sequential recommendation; graph; learning recommendation
vasudeva_varma manish_gupta||detection; learning; use; neural; tweet||improve tweet representations use temporal user context||entity track real-time use sub-topic detection twitter||stereotype bias removal hate speech detection task use knowledge-based generalization||medical forum question classification use deep learning||yongfeng_huang&fangzhao_wu; xing_xie&chuhan_wu; enhong_chen&qi_liu||neural; neural network; exploit; network; neural sentiment classification; recommendation; learning; representation; neural prediction; neural review rating prediction
yiqun_liu min_zhang||search; recommendation; behavior; model; user||incorporate revisite behavior click model||beyond user embed matrix learning hash model large-scale user recommendation||influence image search intent user behavior satisfaction||investigate examination behavior mobile search||yiqun_liu&shaoping_ma; min_zhang&shaoping_ma; yiqun_liu&min_zhang&shaoping_ma||user; behavior; recommendation; search; model; investigate
